timestamp,temperature,humidity,pressure
1712598748416,33.28,13.59,1002.22
1712598750460,33.3,13.84,1002.18
1712598752475,33.31,14.92,1002.21
1712598756018,33.34,14.96,1002.19
1712598758043,33.35,15.03,1002.17
1712598760172,33.36,14.71,1002.23
1712598762212,33.38,14.96,1002.21
1712598764228,33.4,15.26,1002.2
1712598766254,33.42,15.07,1002.25
1712598768262,33.44,14.94,1002.23
1712598770298,33.48,15.48,1002.2
1712598772312,33.51,16.65,1002.18
1712598774324,33.52,16.23,1002.21
1712598776347,33.53,15.6,1002.15
1712598778363,33.57,15.6,1002.17
1712598780379,33.6,15.35,1002.18
1712598782395,33.63,18.64,1002.24
1712598784404,33.64,20.5,1002.3
1712598786422,33.65,18.74,1002.28
1712598788440,33.65,16.91,1002.23
1712598790461,33.65,16.36,1002.19
1712598792468,33.65,16.44,1002.25
1712598794474,33.67,18.34,1002.34
1712598796485,33.67,17.94,1002.3
1712598798499,33.66,16.22,1002.26
1712598800014,33.68,15.61,1002.23
1712598802026,33.67,15.32,1002.26
1712598804032,33.64,15.4,1002.17
1712598806043,33.62,14.33,1002.21
1712598808052,33.63,14.2,1002.21
1712598810078,33.65,14.11,1002.16
1712598812096,33.64,15.3,1002.24
1712598814112,33.66,15.65,1002.19
1712598816132,33.67,15.06,1002.16
1712598818148,33.68,15.17,1002.27
1712598820174,33.72,16.56,1002.23
1712598822198,33.73,20.11,1002.27
1712598824223,33.73,19.43,1002.27
1712598826230,33.74,16.25,1002.21
1712598828240,33.77,15.79,1002.21
1712598830249,33.78,16.69,1002.3
1712598832264,33.78,15.77,1002.24
1712598834272,33.79,15.79,1002.27
1712598836278,33.8,15.44,1002.19
1712598838298,33.8,15.56,1002.24
1712598840314,33.74,13.84,1002.19
1712598842324,33.7,12.71,1002.22
1712598844336,33.65,12.71,1002.2
1712598846369,33.65,13.06,1002.19
1712598848373,33.66,13.64,1002.17
1712598850412,33.66,14.29,1002.22
1712598852424,33.65,14.18,1002.21
1712598854438,33.66,14.44,1002.22
1712598856443,33.67,15.33,1002.22
1712598858462,33.64,15.02,1002.22
1712598860473,33.64,15.07,1002.17
1712598862483,33.61,14.26,1002.23
1712598866003,33.57,14.28,1002.2
1712598868011,33.57,14.91,1002.29
1712598870032,33.55,13.91,1002.24
1712598872052,33.56,13.55,1002.23
1712598874087,33.57,13.48,1002.22
1712598876107,33.59,14.42,1002.26
1712598878148,33.59,17.13,1002.26
1712598880174,33.6,17.17,1002.3
1712598882177,33.58,16.61,1002.2
1712598884188,33.58,14.83,1002.16
1712598886203,33.56,14.13,1002.22
1712598888214,33.58,14.58,1002.19
1712598890219,33.6,14.73,1002.2
1712598892247,33.62,16.1,1002.23
1712598894263,33.64,15.56,1002.23
1712598896270,33.68,15.95,1002.19
1712598898280,33.72,16.03,1002.22
1712598900312,33.72,16.25,1002.19
1712598902334,33.76,16.64,1002.28
1712598904361,33.74,15.85,1002.21
1712598906379,33.7,15.29,1002.2
1712598908387,33.68,14.84,1002.24
1712598910423,33.7,15.06,1002.26
1712598912432,33.7,14.82,1002.25
1712598914441,33.67,14.39,1002.24
1712598916461,33.68,14.61,1002.21
1712598918474,33.68,15.21,1002.14
1712598920488,33.66,14.54,1002.18
1712598924014,33.63,15.04,1002.27
1712598926021,33.53,13.45,1002.17
1712598928032,33.49,12.8,1002.18
1712598930039,33.44,12.01,1002.16
1712598932060,33.45,11.88,1002.15
1712598934078,33.46,12.76,1002.17
1712598936099,33.48,14.41,1002.15
1712598938115,33.49,14.2,1002.25
1712598940132,33.47,13.91,1002.23
1712598942145,33.45,13.77,1002.21
1712598944152,33.41,13.81,1002.2
1712598946164,33.41,13.72,1002.2
1712598948176,33.42,13.56,1002.13
1712598950186,33.44,13.65,1002.15
1712598952213,33.44,13.98,1002.17
