timestamp,temperature,humidity,pressure
1712598715074,33.36,15.88,1002.31
1712598715578,33.35,15.69,1002.21
1712598716092,33.36,15.51,1002.17
1712598716597,33.36,15.33,1002.21
1712598717100,33.37,15.17,1002.19
1712598717613,33.36,14.93,1002.18
1712598718118,33.36,14.9,1002.18
1712598718622,33.38,14.88,1002.23
1712598719128,33.4,14.88,1002.15
1712598719632,33.4,14.85,1002.2
1712598720135,33.41,14.85,1002.16
1712598720639,33.4,14.96,1002.17
1712598721142,33.41,15.23,1002.2
1712598721646,33.41,15.65,1002.22
1712598722148,33.4,15.91,1002.16
1712598722656,33.41,15.98,1002.17
1712598723164,33.41,15.89,1002.15
1712598723664,33.38,15.82,1002.23
1712598724172,33.4,15.71,1002.17
1712598724675,33.4,15.28,1002.16
1712598725189,33.37,15.03,1002.21
1712598725696,33.37,14.77,1002.2
1712598726199,33.35,14.57,1002.2
1712598726711,33.35,14.42,1002.23
1712598727222,33.35,14.29,1002.14
1712598727735,33.33,14.33,1002.2
1712598728242,33.32,14.21,1002.2
1712598728742,33.33,14.18,1002.22
1712598729246,33.31,14.28,1002.13
1712598729753,33.31,14.23,1002.15
1712598730267,33.31,14.23,1002.17
1712598730768,33.3,13.96,1002.21
1712598731273,33.31,13.78,1002.14
1712598731775,33.3,13.75,1002.18
1712598732277,33.29,13.71,1002.18
1712598732777,33.3,13.58,1002.18
1712598733288,33.29,13.61,1002.17
1712598733789,33.28,13.63,1002.19
1712598734295,33.28,13.65,1002.17
1712598734807,33.29,13.58,1002.17
1712598735316,33.28,13.82,1002.18
1712598735820,33.28,13.71,1002.19
1712598736328,33.27,13.7,1002.19
1712598736836,33.29,13.74,1002.15
1712598737340,33.28,13.97,1002.13
1712598737854,33.29,14.01,1002.08
1712598738357,33.29,14,1002.1
1712598738859,33.3,13.99,1002.14
1712598739361,33.29,13.94,1002.14
1712598739863,33.28,13.84,1002.17
1712598740366,33.28,13.72,1002.19
1712598740868,33.27,13.67,1002.13
1712598741371,33.28,13.59,1002.16
1712598741874,33.27,13.54,1002.13
1712598742376,33.26,13.45,1002.15
1712598742881,33.27,13.42,1002.15
1712598743384,33.26,13.38,1002.18
1712598743888,33.26,13.36,1002.15
1712598744390,33.26,13.37,1002.17
1712598744891,33.27,13.46,1002.17
1712598745393,33.27,13.65,1002.19
1712598745894,33.26,13.7,1002.17
1712598746396,33.28,13.84,1002.16
1712598746902,33.27,13.83,1002.18
1712598747404,33.27,13.69,1002.15
1712598747905,33.27,13.66,1002.19
1712598748416,33.28,13.59,1002.22
1712598748929,33.27,13.57,1002.2
1712598749442,33.28,13.7,1002.19
1712598749950,33.28,13.71,1002.26
1712598750460,33.3,13.84,1002.18
1712598750965,33.3,14.17,1002.18
1712598751466,33.3,14.52,1002.18
1712598751973,33.32,14.81,1002.24
1712598752475,33.31,14.92,1002.21
1712598752981,33.32,14.85,1002.2
1712598753490,33.32,14.88,1002.2
1712598753999,33.31,14.97,1002.19
1712598754501,33.34,15.03,1002.2
1712598755005,33.34,15.01,1002.21
1712598755512,33.34,14.98,1002.19
1712598756018,33.34,14.96,1002.19
1712598756524,33.34,14.99,1002.19
1712598757033,33.35,15,1002.17
1712598757537,33.35,15.18,1002.18
1712598758043,33.35,15.03,1002.17
1712598758654,33.35,15.08,1002.22
1712598759158,33.36,15.09,1002.23
1712598759670,33.37,14.82,1002.22
1712598760172,33.36,14.71,1002.23
1712598760690,33.37,14.6,1002.22
1712598761195,33.36,14.58,1002.23
1712598761709,33.37,14.87,1002.22
1712598762212,33.38,14.96,1002.21
1712598762718,33.37,15,1002.22
1712598763222,33.38,15.05,1002.18
1712598763726,33.38,14.98,1002.16
1712598764228,33.4,15.26,1002.2
1712598764737,33.4,15.08,1002.23
1712598765247,33.41,14.97,1002.26
1712598765752,33.41,14.87,1002.25
1712598766254,33.42,15.07,1002.25
1712598766758,33.42,15,1002.21
1712598767259,33.43,14.98,1002.22
1712598767761,33.43,14.97,1002.21
1712598768262,33.44,14.94,1002.23
1712598768773,33.46,14.99,1002.2
1712598769283,33.45,15.08,1002.18
1712598769793,33.48,15.2,1002.29
1712598770298,33.48,15.48,1002.2
1712598770802,33.49,15.89,1002.25
1712598771304,33.5,16.07,1002.17
1712598771810,33.51,16.43,1002.19
1712598772312,33.51,16.65,1002.18
1712598772815,33.5,16.87,1002.18
1712598773318,33.52,16.85,1002.21
1712598773819,33.52,16.49,1002.19
1712598774324,33.52,16.23,1002.21
1712598774828,33.52,16,1002.18
1712598775331,33.56,15.87,1002.18
1712598775834,33.53,15.72,1002.22
1712598776347,33.53,15.6,1002.15
1712598776851,33.55,15.51,1002.21
1712598777353,33.56,15.51,1002.25
1712598777856,33.57,15.56,1002.24
1712598778363,33.57,15.6,1002.17
1712598778868,33.59,15.56,1002.18
1712598779373,33.6,15.54,1002.25
1712598779878,33.59,15.45,1002.19
1712598780379,33.6,15.35,1002.18
1712598780883,33.61,15.29,1002.18
1712598781386,33.61,15.26,1002.19
1712598781888,33.63,15.56,1002.21
